Question ID (machine readable),Response ID (machine readable),Response value,Answer requirement,Human-friendly question label
PSL_DATA_TYPES_FINANCIAL,PSL_CREDIT_SCORE,false,MULTIPLE_CHOICE,Infos financières/Cote de crédit
PSL_DATA_TYPES_FINANCIAL,PSL_OTHER,false,MULTIPLE_CHOICE,Infos financières/Autres infos financières
PSL_DATA_TYPES_LOCATION,PSL_APPROX_LOCATION,false,MULTIPLE_CHOICE,Emplacement/Position approximative
PSL_DATA_TYPES_LOCATION,PSL_PRECISE_LOCATION,,MULTIPLE_CHOICE,Emplacement/Position exacte
PSL_DATA_TYPES_SEARCH_AND_BROWSING,PSL_WEB_BROWSING_HISTORY,,MULTIPLE_CHOICE,Navigation sur le Web/Historique de navigation Web
PSL_DATA_TYPES_EMAIL_AND_TEXT,PSL_EMAILS,,MULTIPLE_CHOICE,Messages/E-mails
PSL_DATA_TYPES_EMAIL_AND_TEXT,PSL_SMS_CALL_LOG,,MULTIPLE_CHOICE,Messages/SMS ou MMS
PSL_DATA_TYPES_EMAIL_AND_TEXT,PSL_OTHER_MESSAGES,,MULTIPLE_CHOICE,Messages/Autres messages via une appli
PSL_DATA_TYPES_PHOTOS_AND_VIDEOS,PSL_PHOTOS,true,MULTIPLE_CHOICE,Photos et vidéos/Photos
PSL_DATA_TYPES_PHOTOS_AND_VIDEOS,PSL_VIDEOS,false,MULTIPLE_CHOICE,Photos et vidéos/Vidéos
PSL_DATA_TYPES_AUDIO,PSL_AUDIO,,MULTIPLE_CHOICE,Fichiers audio/Enregistrements audio ou vidéo
PSL_DATA_TYPES_AUDIO,PSL_MUSIC,,MULTIPLE_CHOICE,Fichiers audio/Fichiers de musique
PSL_DATA_TYPES_AUDIO,PSL_OTHER_AUDIO,,MULTIPLE_CHOICE,Fichiers audio/Autres fichiers audio
PSL_DATA_TYPES_HEALTH_AND_FITNESS,PSL_HEALTH,,MULTIPLE_CHOICE,Santé et remise en forme/Infos sur la santé
PSL_DATA_TYPES_HEALTH_AND_FITNESS,PSL_FITNESS,,MULTIPLE_CHOICE,Santé et remise en forme/Infos sur l'activité physique
PSL_DATA_TYPES_CONTACTS,PSL_CONTACTS,,MULTIPLE_CHOICE,Contacts/Contacts
PSL_DATA_TYPES_CALENDAR,PSL_CALENDAR,,MULTIPLE_CHOICE,Agenda/Événements du calendrier
PSL_DATA_TYPES_APP_PERFORMANCE,PSL_CRASH_LOGS,true,MULTIPLE_CHOICE,Infos et performance des applis/Journaux de plantage
PSL_DATA_TYPES_APP_PERFORMANCE,PSL_PERFORMANCE_DIAGNOSTICS,true,MULTIPLE_CHOICE,Infos et performance des applis/Diagnostics
PSL_DATA_TYPES_APP_PERFORMANCE,PSL_OTHER_PERFORMANCE,false,MULTIPLE_CHOICE,Infos et performance des applis/Autres données de performance de l'appli
PSL_DATA_TYPES_FILES_AND_DOCS,PSL_FILES_AND_DOCS,,MULTIPLE_CHOICE,Fichiers et documents/Fichiers et documents
PSL_DATA_TYPES_APP_ACTIVITY,PSL_USER_INTERACTION,true,MULTIPLE_CHOICE,Activité dans les applis/Interactions avec l'appli
PSL_DATA_TYPES_APP_ACTIVITY,PSL_IN_APP_SEARCH_HISTORY,false,MULTIPLE_CHOICE,Activité dans les applis/Historique des recherches via une appli
PSL_DATA_TYPES_APP_ACTIVITY,PSL_APPS_ON_DEVICE,false,MULTIPLE_CHOICE,Activité dans les applis/Applis installées
PSL_DATA_TYPES_APP_ACTIVITY,PSL_USER_GENERATED_CONTENT,false,MULTIPLE_CHOICE,Activité dans les applis/Autre contenu généré par l'utilisateur
PSL_DATA_TYPES_APP_ACTIVITY,PSL_OTHER_APP_ACTIVITY,false,MULTIPLE_CHOICE,Activité dans les applis/Autres actions
PSL_DATA_TYPES_IDENTIFIERS,PSL_DEVICE_ID,true,MULTIPLE_CHOICE,Appareil ou autres ID/Appareil ou autres ID
PSL_DATA_USAGE_RESPONSES:PSL_NAME:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_COLLECTED,true,MULTIPLE_CHOICE,"Utilisation et traitement des données (Nom)/Ces données sont-elles collectées, partagées ou les deux ?/Collectées"
PSL_DATA_USAGE_RESPONSES:PSL_NAME:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_SHARED,false,MULTIPLE_CHOICE,"Utilisation et traitement des données (Nom)/Ces données sont-elles collectées, partagées ou les deux ?/Partagées"
PSL_DATA_USAGE_RESPONSES:PSL_NAME:PSL_DATA_USAGE_EPHEMERAL,,false,MAYBE_REQUIRED,Utilisation et traitement des données (Nom)/Ces données sont-elles traitées de manière éphémère ?
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_OPTIONAL,false,SINGLE_CHOICE,"Utilisation et traitement des données (Nom)/Ces données sont-elles requises pour votre appli, ou les utilisateurs peuvent-ils décider qu'elles soient collectées ou non ?/Les utilisateurs peuvent choisir si ces données sont collectées ou non"
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_REQUIRED,true,SINGLE_CHOICE,"Utilisation et traitement des données (Nom)/Ces données sont-elles requises pour votre appli, ou les utilisateurs peuvent-ils décider qu'elles soient collectées ou non ?/La collecte de données est requise (les utilisateurs ne peuvent pas désactiver cette collecte)"
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_COLLECTION_PURPOSE,PSL_APP_FUNCTIONALITY,true,MULTIPLE_CHOICE,Utilisation et traitement des données (Nom)/Pourquoi ces données utilisateur sont-elles collectées ? Plusieurs réponses possibles./Fonctionnement de l'appli
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_COLLECTION_PURPOSE,PSL_ANALYTICS,false,MULTIPLE_CHOICE,Utilisation et traitement des données (Nom)/Pourquoi ces données utilisateur sont-elles collectées ? Plusieurs réponses possibles./Analyse
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_COLLECTION_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,false,MULTIPLE_CHOICE,Utilisation et traitement des données (Nom)/Pourquoi ces données utilisateur sont-elles collectées ? Plusieurs réponses possibles./Communications du développeur
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_COLLECTION_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,false,MULTIPLE_CHOICE,"Utilisation et traitement des données (Nom)/Pourquoi ces données utilisateur sont-elles collectées ? Plusieurs réponses possibles./Prévention des fraudes, sécurité et conformité"
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_COLLECTION_PURPOSE,PSL_ADVERTISING,false,MULTIPLE_CHOICE,Utilisation et traitement des données (Nom)/Pourquoi ces données utilisateur sont-elles collectées ? Plusieurs réponses possibles./Publicité ou marketing
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_COLLECTION_PURPOSE,PSL_PERSONALIZATION,false,MULTIPLE_CHOICE,Utilisation et traitement des données (Nom)/Pourquoi ces données utilisateur sont-elles collectées ? Plusieurs réponses possibles./Personnalisation
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_COLLECTION_PURPOSE,PSL_ACCOUNT_MANAGEMENT,true,MULTIPLE_CHOICE,Utilisation et traitement des données (Nom)/Pourquoi ces données utilisateur sont-elles collectées ? Plusieurs réponses possibles./Gestion des comptes
