display_name,category,sector,country_codes,barcodes,aliases,image_url,unit,tags,supplier_suggestions,marketplace_matches,publication_status,notes,reference_price,sale_price,supplier_hint,verified,added_by_count
thymoglobuline 25 mg /5ml injectable - XXIX-3 Hémodialyse,injectable,pharmacie,SN,,thymoglobuline 25 mg /5ml injectable|thymoglobuline|XXIX-3 Hémodialyse,,,medicament|senegal|injectable,,,draft,Niveaux: + | Source: thymoglobuline 25 mg /5ml injectable + XXIX-3 Hémodialyse,,,XXIX-3 Hémodialyse,false,1
Aiguilles artère veine,M?dicament,pharmacie,SN,,Aiguilles artère veine,,,medicament|senegal,,,draft,Niveaux: + + | Source: Aiguilles artère veine + +,,,,false,1
Concentré d'acide,M?dicament,pharmacie,SN,,Concentré d'acide,,,medicament|senegal,,,draft,Niveaux: + + | Source: Concentré d'acide + +,,,,false,1
Concentré de bicarbonate,M?dicament,pharmacie,SN,,Concentré de bicarbonate,,,medicament|senegal,,,draft,Niveaux: + + | Source: Concentré de bicarbonate + +,,,,false,1
Lignes artère veine,M?dicament,pharmacie,SN,,Lignes artère veine,,,medicament|senegal,,,draft,Niveaux: + + | Source: Lignes artère veine + +,,,,false,1
Set de branchement et de débranchement,M?dicament,pharmacie,SN,,Set de branchement et de débranchement,,,medicament|senegal,,,draft,Niveaux: + + | Source: Set de branchement et de débranchement + +,,,,false,1
Kit hémodialyse,M?dicament,pharmacie,SN,,Kit hémodialyse,,,medicament|senegal,,,draft,Niveaux: + + | Source: Kit hémodialyse + +,,,,false,1
Reins Artificiels,M?dicament,pharmacie,SN,,Reins Artificiels,,,medicament|senegal,,,draft,Niveaux: + + | Source: Reins Artificiels + +,,,,false,1
Catheter jugulaire,M?dicament,pharmacie,SN,,Catheter jugulaire,,,medicament|senegal,,,draft,Niveaux: + + | Source: Catheter jugulaire + +,,,,false,1
Catheter fémoral - XXIX-4 Dialyse péritonéale,M?dicament,pharmacie,SN,,Catheter fémoral|XXIX-4 Dialyse péritonéale,,,medicament|senegal,,,draft,Niveaux: + + | Source: Catheter fémoral + + XXIX-4 Dialyse péritonéale,,,XXIX-4 Dialyse péritonéale,false,1
Cassette,Cassette,pharmacie,SN,,Cassette,,,medicament|senegal|cassette,,,draft,Niveaux: + + | Source: Cassettes + +,,,,false,1
Extraneal,M?dicament,pharmacie,SN,,Extraneal,,,medicament|senegal,,,draft,Niveaux: + + | Source: Extraneal + +,,,,false,1
Bouchon staysafe + + 50,M?dicament,pharmacie,SN,,Bouchon staysafe + + 50|Bouchon staysafe + +,,,medicament|senegal,,,draft,Source: Bouchon staysafe + + 50,,,,false,1
Minicap bétadiné,M?dicament,pharmacie,SN,,Minicap bétadiné,,,medicament|senegal,,,draft,Niveaux: + + | Source: Minicap bétadiné + +,,,,false,1
Intranéale,M?dicament,pharmacie,SN,,Intranéale,,,medicament|senegal,,,draft,Niveaux: + + | Source: Intranéale + +,,,,false,1
Nutrinéale,M?dicament,pharmacie,SN,,Nutrinéale,,,medicament|senegal,,,draft,Niveaux: + + | Source: Nutrinéale + +,,,,false,1
"Poche hypertonique DPCA 3,86 POCHE 2L",M?dicament,pharmacie,SN,,"Poche hypertonique DPCA 3,86 POCHE 2L|Poche hypertonique DPCA",,,medicament|senegal,,,draft,"Niveaux: + + | Source: Poche hypertonique DPCA 3,86 POCHE 2L + +",,,,false,1
"Poche hypertonique DPA 3,86 POCHE 5L",M?dicament,pharmacie,SN,,"Poche hypertonique DPA 3,86 POCHE 5L|Poche hypertonique DPA",,,medicament|senegal,,,draft,"Niveaux: + + | Source: Poche hypertonique DPA 3,86 POCHE 5L + +",,,,false,1
"Poche isotonique DPA 1,36 POCHE 5L",M?dicament,pharmacie,SN,,"Poche isotonique DPA 1,36 POCHE 5L|Poche isotonique DPA",,,medicament|senegal,,,draft,"Niveaux: + + | Source: Poche isotonique DPA 1,36 POCHE 5L + +",,,,false,1
"Poche isotonique DPCA 1,36 POCHE 2L",M?dicament,pharmacie,SN,,"Poche isotonique DPCA 1,36 POCHE 2L|Poche isotonique DPCA",,,medicament|senegal,,,draft,"Niveaux: + + | Source: Poche isotonique DPCA 1,36 POCHE 2L + +",,,,false,1
Kit dialyse péritoneale,M?dicament,pharmacie,SN,,Kit dialyse péritoneale,,,medicament|senegal,,,draft,Niveaux: + + | Source: Kit dialyse péritoneale + +,,,,false,1
"Poche intermediare DPA 2,27 POCHE 5L",M?dicament,pharmacie,SN,,"Poche intermediare DPA 2,27 POCHE 5L|Poche intermediare DPA",,,medicament|senegal,,,draft,"Source: Poche intermediare DPA 2,27 POCHE 5L",,,,false,1
"Poche intermediare DPCA 2,27 POCHE 2L + + XXX- MEDICAMENTS GERIATRIQUES XXX-1 Médicaments de l'hypertrophie de la prostate",M?dicament,pharmacie,SN,,"Poche intermediare DPCA 2,27 POCHE 2L + + XXX- MEDICAMENTS GERIATRIQUES XXX-1 Médicaments de l'hypertrophie de la prostate|Poche intermediare DPCA",,,medicament|senegal,,,draft,"Source: Poche intermediare DPCA 2,27 POCHE 2L + + XXX- MEDICAMENTS GERIATRIQUES XXX-1 Médicaments de l'hypertrophie de la prostate",,,,false,1
