display_name,category,sector,country_codes,barcodes,aliases,image_url,unit,tags,supplier_suggestions,marketplace_matches,publication_status,notes,reference_price,sale_price,supplier_hint,verified,added_by_count
Amikacine 500mg injectable - Amiklin,injectable,pharmacie,SN,,Amikacine 500mg injectable|Amikacine|Amiklin,,,medicament|senegal|injectable,,,draft,Niveaux: + + + | Source: Amikacine 500mg injectable + + + Amiklin,,,Amiklin,false,1
Amoxicilline 500mg gélule - Clamoxyl,gélule,pharmacie,SN,,Amoxicilline 500mg gélule|Amoxicilline|Clamoxyl,,,medicament|senegal|gélule,,,draft,Niveaux: + + + + | Source: Amoxicilline 500mg gélule + + + + Clamoxyl,,,Clamoxyl,false,1
Amoxicilline 1 g comprimé - Clamoxyl,comprimé,pharmacie,SN,,Amoxicilline 1 g comprimé|Amoxicilline|Clamoxyl,,,medicament|senegal|comprimé,,,draft,Niveaux: + + + + | Source: Amoxicilline 1 g comprimé + + + + Clamoxyl,,,Clamoxyl,false,1
Amoxicillicine 250mg comprimé dispersible - Clamoxyl,comprimé dispersible,pharmacie,SN,,Amoxicillicine 250mg comprimé dispersible|Amoxicillicine|Clamoxyl,,,medicament|senegal|comprimé dispersible,,,draft,Niveaux: + + + + + | Source: Amoxicillicine 250mg comprimé dispersible + + + + + Clamoxyl,,,Clamoxyl,false,1
Amoxicilline 250mg suspension buvable - Clamoxyl,suspension buvable,pharmacie,SN,,Amoxicilline 250mg suspension buvable|Amoxicilline|Clamoxyl,,,medicament|senegal|suspension buvable,,,draft,Niveaux: + + + + | Source: Amoxicilline 250mg suspension buvable + + + + Clamoxyl,,,Clamoxyl,false,1
"Amoxicilline+Acide Clavulanique 500mg/62,5mg Sachet - Augmentin",Sachet,pharmacie,SN,,"Amoxicilline+Acide Clavulanique 500mg/62,5mg Sachet|Amoxicilline+Acide Clavulanique|Augmentin",,,medicament|senegal|sachet,,,draft,"Niveaux: + + + + | Source: Amoxicilline+Acide Clavulanique 500mg/62,5mg Sachet + + + + Augmentin",,,Augmentin,false,1
Amoxicilline+Acide Clavulanique 1000mg/125mg Sachet - Augmentin,Sachet,pharmacie,SN,,Amoxicilline+Acide Clavulanique 1000mg/125mg Sachet|Amoxicilline+Acide Clavulanique|Augmentin,,,medicament|senegal|sachet,,,draft,Niveaux: + + + + | Source: Amoxicilline+Acide Clavulanique 1000mg/125mg Sachet + + + + Augmentin,,,Augmentin,false,1
Ampicilline 1g injectable - Totapen,injectable,pharmacie,SN,,Ampicilline 1g injectable|Ampicilline|Totapen,,,medicament|senegal|injectable,,,draft,Niveaux: + + + + | Source: Ampicilline 1g injectable + + + + Totapen,,,Totapen,false,1
Azithromycine 500mg comprimé - Zithromax,comprimé,pharmacie,SN,,Azithromycine 500mg comprimé|Azithromycine|Zithromax,,,medicament|senegal|comprimé,,,draft,Niveaux: + + 0 | Source: Azithromycine 500mg comprimé + + 0 Zithromax,,,Zithromax,false,1
"Benzathine -benzylpénicilline 2,4mui injectable - Extenlliline",injectable,pharmacie,SN,,"Benzathine -benzylpénicilline 2,4mui injectable|Benzathine -benzylpénicilline|Extenlliline",,,medicament|senegal|injectable,,,draft,"Niveaux: + + + | Source: Benzathine -benzylpénicilline 2,4mui injectable + + + Extenlliline",,,Extenlliline,false,1
"Benzathine-benzylpénicilline 1,2mui injectable - Extencilline",injectable,pharmacie,SN,,"Benzathine-benzylpénicilline 1,2mui injectable|Benzathine-benzylpénicilline|Extencilline",,,medicament|senegal|injectable,,,draft,"Niveaux: + + + + | Source: Benzathine-benzylpénicilline 1,2mui injectable + + + + Extencilline",,,Extencilline,false,1
Benzylpénicilline 1mui injectable - PéniG,injectable,pharmacie,SN,,Benzylpénicilline 1mui injectable|Benzylpénicilline|PéniG,,,medicament|senegal|injectable,,,draft,Niveaux: + + + | Source: Benzylpénicilline 1mui injectable + + + PéniG,,,PéniG,false,1
Céfazoline 1g injectable - Céfacidal,injectable,pharmacie,SN,,Céfazoline 1g injectable|Céfazoline|Céfacidal,,,medicament|senegal|injectable,,,draft,Niveaux: + + + | Source: Céfazoline 1g injectable + + + Céfacidal,,,Céfacidal,false,1
Céfixime 200mg comprimé - Oroken,comprimé,pharmacie,SN,,Céfixime 200mg comprimé|Céfixime|Oroken,,,medicament|senegal|comprimé,,,draft,Niveaux: + + + | Source: Céfixime 200mg comprimé + + + Oroken,,,Oroken,false,1
Céfixime 100mg/5ml suspension. buvable. - Oroken,M?dicament,pharmacie,SN,,Céfixime 100mg/5ml suspension. buvable.|Céfixime|Oroken,,,medicament|senegal,,,draft,Niveaux: + + + | Source: Céfixime 100mg/5ml suspension. buvable. + + + Oroken,,,Oroken,false,1
Céfotaxime 1 g injectable - Claforan,injectable,pharmacie,SN,,Céfotaxime 1 g injectable|Céfotaxime|Claforan,,,medicament|senegal|injectable,,,draft,Niveaux: + + + | Source: Céfotaxime 1 g injectable + + + Claforan,,,Claforan,false,1
Ceftriaxone 1g injectable - Rocéphine,injectable,pharmacie,SN,,Ceftriaxone 1g injectable|Ceftriaxone|Rocéphine,,,medicament|senegal|injectable,,,draft,Niveaux: + + + + | Source: Ceftriaxone 1g injectable + + + + Rocéphine,,,Rocéphine,false,1
Ciprofloxacine 250mg comprimé - Cifran,comprimé,pharmacie,SN,,Ciprofloxacine 250mg comprimé|Ciprofloxacine|Cifran,,,medicament|senegal|comprimé,,,draft,Niveaux: + + + + | Source: Ciprofloxacine 250mg comprimé + + + + Cifran,,,Cifran,false,1
Ciprofloxacine 200mg injectable - Ciproxin,injectable,pharmacie,SN,,Ciprofloxacine 200mg injectable|Ciprofloxacine|Ciproxin,,,medicament|senegal|injectable,,,draft,Niveaux: + + + | Source: Ciprofloxacine 200mg injectable + + + Ciproxin,,,Ciproxin,false,1
Ciprofloxacine 100mg injectable - Ciproxin,injectable,pharmacie,SN,,Ciprofloxacine 100mg injectable|Ciprofloxacine|Ciproxin,,,medicament|senegal|injectable,,,draft,Niveaux: + + + + | Source: Ciprofloxacine 100mg injectable + + + + Ciproxin,,,Ciproxin,false,1
Ciprofloxacine 500mg injectable - Ciproxin,injectable,pharmacie,SN,,Ciprofloxacine 500mg injectable|Ciprofloxacine|Ciproxin,,,medicament|senegal|injectable,,,draft,Niveaux: + + + | Source: Ciprofloxacine 500mg injectable + + + Ciproxin,,,Ciproxin,false,1
Doxycycline 100mg comprimé - Vibra 9,comprimé,pharmacie,SN,,Doxycycline 100mg comprimé|Doxycycline|Vibra 9,,,medicament|senegal|comprimé,,,draft,Niveaux: + + + | Source: Doxycycline 100mg comprimé + + + Vibra 9,,,Vibra 9,false,1
Erythromycine 500mg comprimé - Ery,comprimé,pharmacie,SN,,Erythromycine 500mg comprimé|Erythromycine|Ery,,,medicament|senegal|comprimé,,,draft,Niveaux: + + + + | Source: Erythromycine 500mg comprimé + + + + Ery,,,Ery,false,1
Gentamicine 80mg/2ml injectable - Gentalline,injectable,pharmacie,SN,,Gentamicine 80mg/2ml injectable|Gentamicine|Gentalline,,,medicament|senegal|injectable,,,draft,Niveaux: + + + + | Source: Gentamicine 80mg/2ml injectable + + + + Gentalline,,,Gentalline,false,1
Oxacilline 1g injectable - Bristopen,injectable,pharmacie,SN,,Oxacilline 1g injectable|Oxacilline|Bristopen,,,medicament|senegal|injectable,,,draft,Niveaux: + + + | Source: Oxacilline 1g injectable + + + Bristopen,,,Bristopen,false,1
Flucloxacilline 250mg/5ml suspension buvable - Staphypen,suspension buvable,pharmacie,SN,,Flucloxacilline 250mg/5ml suspension buvable|Flucloxacilline|Staphypen,,,medicament|senegal|suspension buvable,,,draft,Niveaux: + + + + | Source: Flucloxacilline 250mg/5ml suspension buvable + + + + Staphypen,,,Staphypen,false,1
Flucloxacilline 500mg comprimé - Staphypen,comprimé,pharmacie,SN,,Flucloxacilline 500mg comprimé|Flucloxacilline|Staphypen,,,medicament|senegal|comprimé,,,draft,Niveaux: + + + + | Source: Flucloxacilline 500mg comprimé + + + + Staphypen,,,Staphypen,false,1
Flucloxacilline 125mg/5ml suspension buvable - Staphypen,suspension buvable,pharmacie,SN,,Flucloxacilline 125mg/5ml suspension buvable|Flucloxacilline|Staphypen,,,medicament|senegal|suspension buvable,,,draft,Niveaux: + + + + | Source: Flucloxacilline 125mg/5ml suspension buvable + + + + Staphypen,,,Staphypen,false,1
Imipénèmes 500mg injectable,injectable,pharmacie,SN,,Imipénèmes 500mg injectable|Imipénèmes,,,medicament|senegal|injectable,,,draft,Niveaux: + + + | Source: Imipénèmes 500mg injectable + + +,,,,false,1
Phénoxyméthylpénicilline 1000000 UI comprimé - Ospen,comprimé,pharmacie,SN,,Phénoxyméthylpénicilline 1000000 UI comprimé|Phénoxyméthylpénicilline|Ospen,,,medicament|senegal|comprimé,,,draft,Niveaux: + + + + | Source: Phénoxyméthylpénicilline 1000000 UI comprimé + + + + Ospen,,,Ospen,false,1
Sulfaméthoxazole + Triméthoprime 400mg/80mg comprimé - Bactrim,comprimé,pharmacie,SN,,Sulfaméthoxazole + Triméthoprime 400mg/80mg comprimé|Sulfaméthoxazole + Triméthoprime|Bactrim,,,medicament|senegal|comprimé,,,draft,Niveaux: + + + | Source: Sulfaméthoxazole + Triméthoprime 400mg/80mg comprimé + + + Bactrim,,,Bactrim,false,1
Sulfaméthoxazole + Triméthoprime 200mg/40mg suspension . buvable. - Bactrim,M?dicament,pharmacie,SN,,Sulfaméthoxazole + Triméthoprime 200mg/40mg suspension . buvable.|Sulfaméthoxazole + Triméthoprime|Bactrim,,,medicament|senegal,,,draft,Niveaux: + + + | Source: Sulfaméthoxazole + Triméthoprime 200mg/40mg suspension . buvable. + + + Bactrim,,,Bactrim,false,1
Sulfaméthoxazole + Triméthoprime 800mg/160mg comprimé - Bactrim,comprimé,pharmacie,SN,,Sulfaméthoxazole + Triméthoprime 800mg/160mg comprimé|Sulfaméthoxazole + Triméthoprime|Bactrim,,,medicament|senegal|comprimé,,,draft,Niveaux: + + + | Source: Sulfaméthoxazole + Triméthoprime 800mg/160mg comprimé + + + Bactrim,,,Bactrim,false,1
Vancomycine 500mg injectable - Vanco,injectable,pharmacie,SN,,Vancomycine 500mg injectable|Vancomycine|Vanco,,,medicament|senegal|injectable,,,draft,Niveaux: + + + | Source: Vancomycine 500mg injectable + + + Vanco,,,Vanco,false,1
Thiamphénicol 750mg injectable - Thiophénicol,injectable,pharmacie,SN,,Thiamphénicol 750mg injectable|Thiamphénicol|Thiophénicol,,,medicament|senegal|injectable,,,draft,Niveaux: + + + | Source: Thiamphénicol 750mg injectable + + + Thiophénicol,,,Thiophénicol,false,1
Imipéneme +Cilastatine 500mg/500mg injectable - Bacqure,injectable,pharmacie,SN,,Imipéneme +Cilastatine 500mg/500mg injectable|Imipéneme +Cilastatine|Bacqure,,,medicament|senegal|injectable,,,draft,Niveaux: + + | Source: Imipéneme +Cilastatine 500mg/500mg injectable + + Bacqure,,,Bacqure,false,1
"Amoxicilline + Acide Clavulanique 100 mg / 12,5 mg / ml sirop - Augmentin",sirop,pharmacie,SN,,"Amoxicilline + Acide Clavulanique 100 mg / 12,5 mg / ml sirop|Amoxicilline + Acide Clavulanique|Augmentin",,,medicament|senegal|sirop,,,draft,"Niveaux: + + + | Source: Amoxicilline + Acide Clavulanique 100 mg / 12,5 mg / ml sirop + + + Augmentin",,,Augmentin,false,1
"Amoxicilline+Acide Clavulanique 500mg/62,5mg injectable - Augmentin",injectable,pharmacie,SN,,"Amoxicilline+Acide Clavulanique 500mg/62,5mg injectable|Amoxicilline+Acide Clavulanique|Augmentin",,,medicament|senegal|injectable,,,draft,"Niveaux: + + + | Source: Amoxicilline+Acide Clavulanique 500mg/62,5mg injectable + + + Augmentin",,,Augmentin,false,1
Céfuroxime 750mg injectable,injectable,pharmacie,SN,,Céfuroxime 750mg injectable|Céfuroxime,,,medicament|senegal|injectable,,,draft,Source: Céfuroxime 750mg injectable + + Zinnat I-2 Antituberculeux I-2-1 MEDICAMENTS ANTITUBERCULEUX DE SECONDE LIGNE (FORMULATION ADULTE),,,,false,1
Cyclosérine 250mg comprimé,comprimé,pharmacie,SN,,Cyclosérine 250mg comprimé|Cyclosérine,,,medicament|senegal|comprimé,,,draft,Niveaux: + + + + | Source: Cyclosérine 250mg comprimé + + + +,,,,false,1
Ethambutol 400mg comprimé - Myambutol,comprimé,pharmacie,SN,,Ethambutol 400mg comprimé|Ethambutol|Myambutol,,,medicament|senegal|comprimé,,,draft,Niveaux: + + + + | Source: Ethambutol 400mg comprimé + + + + Myambutol,,,Myambutol,false,1
Ethionamide 250mg comprimé - Trecator,comprimé,pharmacie,SN,,Ethionamide 250mg comprimé|Ethionamide|Trecator,,,medicament|senegal|comprimé,,,draft,Niveaux: + + + + | Source: Ethionamide 250mg comprimé + + + + Trecator,,,Trecator,false,1
Isoniazide 300mg comprimé - Rimifon,comprimé,pharmacie,SN,,Isoniazide 300mg comprimé|Isoniazide|Rimifon,,,medicament|senegal|comprimé,,,draft,Niveaux: + + + + | Source: Isoniazide 300mg comprimé + + + + Rimifon,,,Rimifon,false,1
Lévofloxacine 250mg comprimé - Tavanic,comprimé,pharmacie,SN,,Lévofloxacine 250mg comprimé|Lévofloxacine|Tavanic,,,medicament|senegal|comprimé,,,draft,Niveaux: + + + + | Source: Lévofloxacine 250mg comprimé + + + + Tavanic,,,Tavanic,false,1
Pyrazinamide 400mg comprimé - Pirilène 10,comprimé,pharmacie,SN,,Pyrazinamide 400mg comprimé|Pyrazinamide|Pirilène 10,,,medicament|senegal|comprimé,,,draft,Niveaux: + + + + | Source: Pyrazinamide 400mg comprimé + + + + Pirilène 10,,,Pirilène 10,false,1
Clofazimine 100mg comprimé - Lampréne,comprimé,pharmacie,SN,,Clofazimine 100mg comprimé|Clofazimine|Lampréne,,,medicament|senegal|comprimé,,,draft,Niveaux: + + + + | Source: Clofazimine 100mg comprimé + + + + Lampréne,,,Lampréne,false,1
Rifampicine/Isoniazide/Pyrazinamide 75/50/150 mg comp.disp,comp.disp,pharmacie,SN,,Rifampicine/Isoniazide/Pyrazinamide 75/50/150 mg comp.disp|Rifampicine/Isoniazide/Pyrazinamide,,,medicament|senegal|comp.disp,,,draft,Niveaux: + + + + | Source: Rifampicine/Isoniazide/Pyrazinamide 75/50/150 mg comp.disp + + + +,,,,false,1
Rifampicine/Isoniazide 75/,M?dicament,pharmacie,SN,,Rifampicine/Isoniazide 75/|Rifampicine/Isoniazide,,,medicament|senegal,,,draft,Source: Rifampicine/Isoniazide 75/,,,,false,1
Bédaquiline 100 mg comprimé,comprimé,pharmacie,SN,,Bédaquiline 100 mg comprimé|Bédaquiline,,,medicament|senegal|comprimé,,,draft,Niveaux: + + + + | Source: Bédaquiline 100 mg comprimé + + + +,,,,false,1
Linézolide 600 mg comprimé - Zyvoxid,comprimé,pharmacie,SN,,Linézolide 600 mg comprimé|Linézolide|Zyvoxid,,,medicament|senegal|comprimé,,,draft,Niveaux: + + + + | Source: Linézolide 600 mg comprimé + + + + Zyvoxid,,,Zyvoxid,false,1
pyridoxine 100mg comprimé,comprimé,pharmacie,SN,,pyridoxine 100mg comprimé|pyridoxine,,,medicament|senegal|comprimé,,,draft,Source: pyridoxine 100mg comprimé + + + + I-2-2 MEDICAMENTS ANTITUBERCULEUX DE SECONDE LIGNE (FORMULATION PEDIATRIQUE ),,,,false,1
Delamanid 50mg comprimé dispersible,comprimé dispersible,pharmacie,SN,,Delamanid 50mg comprimé dispersible|Delamanid,,,medicament|senegal|comprimé dispersible,,,draft,Niveaux: + + + + | Source: Delamanid 50mg comprimé dispersible + + + +,,,,false,1
Clofazimine 50mg comprimé dispersible - Lampréne,comprimé dispersible,pharmacie,SN,,Clofazimine 50mg comprimé dispersible|Clofazimine|Lampréne,,,medicament|senegal|comprimé dispersible,,,draft,Niveaux: + + + + | Source: Clofazimine 50mg comprimé dispersible + + + + Lampréne,,,Lampréne,false,1
Ethionamide 125mg comprimé dispersible - Trecator,comprimé dispersible,pharmacie,SN,,Ethionamide 125mg comprimé dispersible|Ethionamide|Trecator,,,medicament|senegal|comprimé dispersible,,,draft,Niveaux: + + + + | Source: Ethionamide 125mg comprimé dispersible + + + + Trecator,,,Trecator,false,1
Cyclosérine 125mg comprimé dispersible - Cyclosérine,comprimé dispersible,pharmacie,SN,,Cyclosérine 125mg comprimé dispersible|Cyclosérine,,,medicament|senegal|comprimé dispersible,,,draft,Niveaux: + + + + | Source: Cyclosérine 125mg comprimé dispersible + + + + Cyclosérine,,,Cyclosérine,false,1
Lévofloxacine 100mg comprimé dispersible - Tavanic,comprimé dispersible,pharmacie,SN,,Lévofloxacine 100mg comprimé dispersible|Lévofloxacine|Tavanic,,,medicament|senegal|comprimé dispersible,,,draft,Niveaux: + + + + | Source: Lévofloxacine 100mg comprimé dispersible + + + + Tavanic,,,Tavanic,false,1
Ethambutol 100mg comp.disp,comp.disp,pharmacie,SN,,Ethambutol 100mg comp.disp|Ethambutol,,,medicament|senegal|comp.disp,,,draft,Niveaux: + + + + | Source: Ethambutol 100mg comp.disp + + + +,,,,false,1
Pyrazinamide 150mg comprimé dispersible,comprimé dispersible,pharmacie,SN,,Pyrazinamide 150mg comprimé dispersible|Pyrazinamide,,,medicament|senegal|comprimé dispersible,,,draft,Source: Pyrazinamide 150mg comprimé dispersible + + + + Pirilène I-2-3 MEDICAMENT ANTITUBERCULEUX DE PREMIERE LIGNE (FORMULATION ADULTE ),,,,false,1
Rifampicine/Isoniazide 150mg/75mg comprimé,comprimé,pharmacie,SN,,Rifampicine/Isoniazide 150mg/75mg comprimé|Rifampicine/Isoniazide,,,medicament|senegal|comprimé,,,draft,Niveaux: + + + + | Source: Rifampicine/Isoniazide 150mg/75mg comprimé + + + +,,,,false,1
Isoniazide 300mg comprimé - Rimifon,comprimé,pharmacie,SN,,Isoniazide 300mg comprimé|Isoniazide|Rimifon,,,medicament|senegal|comprimé,,,draft,Niveaux: + + + + | Source: Isoniazide 300mg comprimé + + + + Rimifon,,,Rimifon,false,1
Rifapentine+Isoniazide ( 300/300)mg comprimé - Rimifon,comprimé,pharmacie,SN,,Rifapentine+Isoniazide ( 300/300)mg comprimé|Rifapentine+Isoniazide (|Rimifon,,,medicament|senegal|comprimé,,,draft,Niveaux: + + + + | Source: Rifapentine+Isoniazide (300/300)mg comprimé + + + + Rimifon,,,Rimifon,false,1
Rifampicine/Isoniazide/Pyrazinamide/ethambutol 150mg/75mg/400mg/275mg comprimé,comprimé,pharmacie,SN,,Rifampicine/Isoniazide/Pyrazinamide/ethambutol 150mg/75mg/400mg/275mg comprimé|Rifampicine/Isoniazide/Pyrazinamide/ethambutol,,,medicament|senegal|comprimé,,,draft,Source: Rifampicine/Isoniazide/Pyrazinamide/ethambutol 150mg/75mg/400mg/275mg comprimé + + + + 11 I-2-4 MEDICAMENT ANTITUBERCULEUX DE PREMIERE LIGNE (FORMULATION PEDIATRIQUE),,,,false,1
Isoniazide 100mg comprimé - Rimifon,comprimé,pharmacie,SN,,Isoniazide 100mg comprimé|Isoniazide|Rimifon,,,medicament|senegal|comprimé,,,draft,Niveaux: + + + + | Source: Isoniazide 100mg comprimé disp + + + + Rimifon,,,Rimifon,false,1
Ethambutol 100mg comp.disp,comp.disp,pharmacie,SN,,Ethambutol 100mg comp.disp|Ethambutol,,,medicament|senegal|comp.disp,,,draft,Niveaux: + + + + | Source: Ethambutol 100mg comp.disp + + + +,,,,false,1
Rifampicine/Isoniazide 75mg/50mg comprimé dispersible,comprimé dispersible,pharmacie,SN,,Rifampicine/Isoniazide 75mg/50mg comprimé dispersible|Rifampicine/Isoniazide,,,medicament|senegal|comprimé dispersible,,,draft,Niveaux: + + + + | Source: Rifampicine/Isoniazide 75mg/50mg comprimé dispersible + + + +,,,,false,1
Rifampicine/Isoniazide/Pyrazinamide 75/50/150 mg comp.disp - I-3 Antilépreux,comp.disp,pharmacie,SN,,Rifampicine/Isoniazide/Pyrazinamide 75/50/150 mg comp.disp|Rifampicine/Isoniazide/Pyrazinamide|I-3 Antilépreux,,,medicament|senegal|comp.disp,,,draft,Niveaux: + + + + | Source: Rifampicine/Isoniazide/Pyrazinamide 75/50/150 mg comp.disp + + + + I-3 Antilépreux,,,I-3 Antilépreux,false,1
Clofazimine 50mg et 100mg capsule molle - Lamprène,capsule molle,pharmacie,SN,,Clofazimine 50mg et 100mg capsule molle|Clofazimine|Lamprène,,,medicament|senegal|capsule molle,,,draft,Niveaux: + + + + | Source: Clofazimine 50mg et 100mg capsule molle + + + + Lamprène,,,Lamprène,false,1
Dapsone 100mg comprimé - Disulone,comprimé,pharmacie,SN,,Dapsone 100mg comprimé|Dapsone|Disulone,,,medicament|senegal|comprimé,,,draft,Niveaux: + + + + | Source: Dapsone 100mg comprimé + + + + Disulone,,,Disulone,false,1
Rifampicine 300mg gélule - Rimactan I-4 Antiprotozoaires I-4-1 Antipaludiques,gélule,pharmacie,SN,,Rifampicine 300mg gélule|Rifampicine|Rimactan I-4 Antiprotozoaires I-4-1 Antipaludiques,,,medicament|senegal|gélule,,,draft,Niveaux: + + + + | Source: Rifampicine 300mg gélule + + + + Rimactan I-4 Antiprotozoaires I-4-1 Antipaludiques,,,Rimactan I-4 Antiprotozoaires I-4-1 Antipaludiques,false,1
"Artésunate/Amodiaquine 25 mg/67,5mg; B/3cp comprimé - ASAQ",comprimé,pharmacie,SN,,"Artésunate/Amodiaquine 25 mg/67,5mg; B/3cp comprimé|Artésunate/Amodiaquine|ASAQ",,,medicament|senegal|comprimé,,,draft,"Niveaux: + + + + + | Source: Artésunate/Amodiaquine 25 mg/67,5mg; B/3cp comprimé + + + + + ASAQ",,,ASAQ,false,1
Artésunate/Amodiaquine 50mg/135mg comprimé - ASAQ,comprimé,pharmacie,SN,,Artésunate/Amodiaquine 50mg/135mg comprimé|Artésunate/Amodiaquine|ASAQ,,,medicament|senegal|comprimé,,,draft,Niveaux: + + + + + | Source: Artésunate/Amodiaquine 50mg/135mg comprimé + + + + + ASAQ,,,ASAQ,false,1
Artésunate/Amodiaquine 100mg/270mg; B/3cp comprimé - ASAQ,comprimé,pharmacie,SN,,Artésunate/Amodiaquine 100mg/270mg; B/3cp comprimé|Artésunate/Amodiaquine|ASAQ,,,medicament|senegal|comprimé,,,draft,Niveaux: + + + + + | Source: Artésunate/Amodiaquine 100mg/270mg; B/3cp comprimé + + + + + ASAQ,,,ASAQ,false,1
Artésunate/Amodiaquine 100mg/270mg; B/6cp comprimé - ASAQ,comprimé,pharmacie,SN,,Artésunate/Amodiaquine 100mg/270mg; B/6cp comprimé|Artésunate/Amodiaquine|ASAQ,,,medicament|senegal|comprimé,,,draft,Niveaux: + + + + + | Source: Artésunate/Amodiaquine 100mg/270mg; B/6cp comprimé + + + + + ASAQ,,,ASAQ,false,1
Artéméther/Luméfantrine 20mg/120mg; B18cp comprimé - Coartem,comprimé,pharmacie,SN,,Artéméther/Luméfantrine 20mg/120mg; B18cp comprimé|Artéméther/Luméfantrine|Coartem,,,medicament|senegal|comprimé,,,draft,Niveaux: + + + + + | Source: Artéméther/Luméfantrine 20mg/120mg; B18cp comprimé + + + + + Coartem,,,Coartem,false,1
Artéméther/Luméfantrine 20mg/120mg; B/12cp comprimé - Coartem,comprimé,pharmacie,SN,,Artéméther/Luméfantrine 20mg/120mg; B/12cp comprimé|Artéméther/Luméfantrine|Coartem,,,medicament|senegal|comprimé,,,draft,Niveaux: + + + + + | Source: Artéméther/Luméfantrine 20mg/120mg; B/12cp comprimé + + + + + Coartem,,,Coartem,false,1
Artémèther/luméfantrine 80mg/480mg comprimé - Coartem,comprimé,pharmacie,SN,,Artémèther/luméfantrine 80mg/480mg comprimé|Artémèther/luméfantrine|Coartem,,,medicament|senegal|comprimé,,,draft,Niveaux: + + + + + | Source: Artémèther/luméfantrine 80mg/480mg comprimé + + + + + Coartem,,,Coartem,false,1
Artéméther/Luméfantrine 20mg/120mg; B/6cp comprimé - Coartem,comprimé,pharmacie,SN,,Artéméther/Luméfantrine 20mg/120mg; B/6cp comprimé|Artéméther/Luméfantrine|Coartem,,,medicament|senegal|comprimé,,,draft,Niveaux: + + + + + | Source: Artéméther/Luméfantrine 20mg/120mg; B/6cp comprimé + + + + + Coartem,,,Coartem,false,1
DihydroArtémisinine/Pipéraquine 40mg/320mg; B/9cp comprimé - Duocotexcin,comprimé,pharmacie,SN,,DihydroArtémisinine/Pipéraquine 40mg/320mg; B/9cp comprimé|DihydroArtémisinine/Pipéraquine|Duocotexcin,,,medicament|senegal|comprimé,,,draft,Niveaux: + + + + + | Source: DihydroArtémisinine/Pipéraquine 40mg/320mg; B/9cp comprimé + + + + + Duocotexcin,,,Duocotexcin,false,1
Artésunate 30mg/ml injectable - Artesun,injectable,pharmacie,SN,,Artésunate 30mg/ml injectable|Artésunate|Artesun,,,medicament|senegal|injectable,,,draft,Niveaux: + + + + | Source: Artésunate 30mg/ml injectable + + + + Artesun,,,Artesun,false,1
Artésunate 60mg/ml injectable - Artesun,injectable,pharmacie,SN,,Artésunate 60mg/ml injectable|Artésunate|Artesun,,,medicament|senegal|injectable,,,draft,Niveaux: + + + + | Source: Artésunate 60mg/ml injectable + + + + Artesun,,,Artesun,false,1
Artéméther 80mg/ml injectable - Artemedine 12,injectable,pharmacie,SN,,Artéméther 80mg/ml injectable|Artéméther|Artemedine 12,,,medicament|senegal|injectable,,,draft,Niveaux: + + + + | Source: Artéméther 80mg/ml injectable + + + + Artemedine 12,,,Artemedine 12,false,1
Artesunate 100mg suppositoire - Plasmotrim,suppositoire,pharmacie,SN,,Artesunate 100mg suppositoire|Artesunate|Plasmotrim,,,medicament|senegal|suppositoire,,,draft,Niveaux: + + + + + | Source: Artesunate 100mg suppositoire + + + + + Plasmotrim,,,Plasmotrim,false,1
Sulfadoxine + Pyriméthamine 500mg/25mg comprimé - Fansidar,comprimé,pharmacie,SN,,Sulfadoxine + Pyriméthamine 500mg/25mg comprimé|Sulfadoxine + Pyriméthamine|Fansidar,,,medicament|senegal|comprimé,,,draft,Niveaux: + + + + | Source: Sulfadoxine + Pyriméthamine 500mg/25mg comprimé + + + + Fansidar,,,Fansidar,false,1
Sulfadoxine/Pyriméthamine + Amodiaquine 500mg/25mg + 153mg comprimé - SPAQ-CO,comprimé,pharmacie,SN,,Sulfadoxine/Pyriméthamine + Amodiaquine 500mg/25mg + 153mg comprimé|Sulfadoxine/Pyriméthamine + Amodiaquine|SPAQ-CO,,,medicament|senegal|comprimé,,,draft,Niveaux: + + + + + | Source: Sulfadoxine/Pyriméthamine + Amodiaquine 500mg/25mg + 153mg comprimé + + + + + SPAQ-CO,,,SPAQ-CO,false,1
"Sulfadoxine/Pyriméthamine + Amodiaquine 250mg/12,5mg + 76,5mg comprimé - SPAQ-CO",comprimé,pharmacie,SN,,"Sulfadoxine/Pyriméthamine + Amodiaquine 250mg/12,5mg + 76,5mg comprimé|Sulfadoxine/Pyriméthamine + Amodiaquine|SPAQ-CO",,,medicament|senegal|comprimé,,,draft,"Niveaux: + + + + + | Source: Sulfadoxine/Pyriméthamine + Amodiaquine 250mg/12,5mg + 76,5mg comprimé + + + + + SPAQ-CO",,,SPAQ-CO,false,1
Quinine 400mg injectable - Quinimax,injectable,pharmacie,SN,,Quinine 400mg injectable|Quinine|Quinimax,,,medicament|senegal|injectable,,,draft,Niveaux: + + + | Source: Quinine 400mg injectable + + + Quinimax,,,Quinimax,false,1
"Primaquine 7,5 mg comprimé - Primaquine I-4-2 Antiamibiens",comprimé,pharmacie,SN,,"Primaquine 7,5 mg comprimé|Primaquine|Primaquine I-4-2 Antiamibiens",,,medicament|senegal|comprimé,,,draft,"Niveaux: + + + + | Source: Primaquine 7,5 mg comprimé + + + + Primaquine I-4-2 Antiamibiens",,,Primaquine I-4-2 Antiamibiens,false,1
